MAKE,MODEL,PICKUP,SEDAN,SMALL_TRUCK,FULL_SIZE_TRUCK,MID_SIZE_SUV,CROSSOVER,FULL_SIZE_SUV,SMALL_CAR,CONVERTIBLE,MINIVAN,HATCHBACK,MID_SIZE_CAR,WAGON,COUPE,SMALL_SUV,FULL_SIZE_CAR,FULL_SIZE_VAN,MID_SIZE_TRUCK,SUV,COMMERCIAL_VEHICLE,RV,HYPERCAR,SPORTS_CAR,ELECTRIC_VEHICLE,VEHICLE_TYPES
ACURA,CL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,mid_size_car
ACURA,ILX,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,small_car
ACURA,INTEGRA,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,sedan|mid_size_car|hatchback
ACURA,INTEGRA LS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,hatchback
ACURA,LEGEND,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,coupe|mid_size_car|sedan
ACURA,MDX,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,full_size_suv
ACURA,MDX SPORT HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,suv
ACURA,NSX,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,coupe|mid_size_car|convertible
ACURA,RDX,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,small_suv|full_size_suv
ACURA,RL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,mid_size_car
ACURA,RLX,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sedan
ACURA,RLX SPORT HYBRID,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sedan
ACURA,RSX,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,mid_size_car
ACURA,SLX,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,full_size_suv
ACURA,TL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,mid_size_car
ACURA,TLX,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,small_car
ACURA,TSX,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,sedan|full_size_car|wagon
